Time,Cost
65144.26995111111,6.90579773943838E7
65147.34451555556,6.458655025738378E7
65271.96066222222,6.254996971772667E7
71707.0264688889,6.179776595175371E7
67391.24442666667,6.2099435149749845E7
127101.11980888886,5.979683154029577E7
124018.85464444442,6.054844848014823E7
65144.358728888896,6.509949398311434E7
73280.32819999999,6.05863447696453E7
126527.63012888888,6.016582959171814E7
65154.23352888889,6.404522262254143E7
65246.51012888889,6.260199516069268E7
65154.2336888889,6.347593978385052E7
124638.13308444443,6.03878546659941E7
65144.42677333334,6.4991145960317984E7
126534.96332888887,6.004424420915537E7
65144.269440000004,6.960167435127582E7
65155.86264000001,6.269199035530105E7
126537.39652888887,5.987481028984398E7
132005.06436888885,5.904016493284214E7
125212.06180888887,6.022531609809895E7
65278.57395111111,6.238233811252886E7
65278.39239555555,6.246075383477707E7
65161.21030222223,6.2649941196734115E7
68600.04490666666,6.20612237529239E7
