Time,Cost
65349.058,9.0819316078563E7
445530.1975466667,6.501525452747419E7
217244.10892888892,6.624211922032221E7
158715.44291555553,6.885053976300971E7
133586.48627999998,7.0685284507875E7
217094.2375688889,6.727034472733845E7
66514.74140444444,8.568947564508192E7
65869.30206222222,9.058410408818783E7
96379.25066000002,7.102487295990697E7
75124.15486222223,7.539336362901875E7
72218.97416000001,8.093644100421786E7
72306.23591777778,7.82959528049579E7
75428.17365555557,7.223188807970087E7
69143.6070777778,8.351214012457511E7
75428.87676666668,7.177005000051963E7
74378.69717777777,7.691973387196626E7
67122.26626444446,8.496500098956425E7
73100.50164999999,7.72929534377558E7
69857.69380000002,8.237007129764244E7
71981.17911555555,8.221265230139622E7
217242.2014088889,6.667065858891175E7
67090.38456666667,8.505361490890765E7
71958.22400444445,8.224610225870137E7
