Time,Cost
42221.778600000005,4.712871527706423E7
85178.95279888889,4.621106296148866E7
42221.24306666666,4.8478774362845086E7
42727.76701333334,4.6827523612067305E7
180235.28022222218,4.522318336355976E7
106564.49512888888,4.5502994803203836E7
42221.250706666666,4.836105804737954E7
106270.81858666668,4.615917059045742E7
42221.27654666667,4.716742797625589E7
42221.25862666667,4.72189622324608E7
58890.13862222223,4.6486454132546484E7
42230.74904,4.704837218081403E7
83098.18826555555,4.648022421671247E7
42221.23278666667,4.8533947602445014E7
46626.83872888889,4.6747616304933056E7
42222.05405333333,4.709515327549554E7
42221.210666666666,4.853801307332902E7
