"BugId","GT","jdt","jface","core","swt","ui","debug","ltk","text","jdi","search","compare","other"
"105430","18","0.0","0.0","0.0","0.0","0.0","16","0.0","0.0","12","0.0","6","0.0"
"110738","14","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","13","0.0"
"106297","19","0.0","0.0","0.0","0.0","0.0","16","0.0","0.0","0.0","0.0","8","0.0"
"100043","19","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1","0.0"
"101283","10","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","7","0.0"
"105635","18","0.0","0.0","0.0","0.0","0.0","16","0.0","0.0","0.0","0.0","15","0.0"
"105255","4","0.0","16","0.0","0.0","11","7","0.0","0.0","0.0","0.0","0.0","9"
"105829","16","1","0.0","0.0","0.0","0.0","8","0.0","0.0","0.0","0.0","3","0.0"
"104649","19","0.0","0.0","0.0","0.0","0.0","16","0.0","0.0","0.0","0.0","11","0.0"
"105623","17","0.0","6","0.0","0.0","0.0","9","9","0.0","0.0","0.0","1","20"
"106514","19","0.0","0.0","0.0","0.0","0.0","1","0.0","0.0","0.0","0.0","10","0.0"
"103636","18","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","5","0.0","6","0.0"
"104780","18","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","15","0.0"
"107735","12","0.0","19","0.0","0.0","0.0","3","0.0","0.0","0.0","4","17","0.0"
"108372","19","0.0","0.0","0.0","0.0","0.0","15","0.0","0.0","0.0","0.0","18","0.0"
"101387","14","0.0","0.0","0.0","0.0","0.0","15","0.0","0.0","0.0","0.0","4","0.0"
"108840","6","0.0","0.0","0.0","0.0","0.0","17","0.0","0.0","0.0","0.0","10","0.0"
"109104","2","0.0","15","0.0","0.0","0.0","20","0.0","0.0","0.0","0.0","0.0","3"
"104695","19","0.0","0.0","0.0","0.0","0.0","5","0.0","0.0","0.0","0.0","4","0.0"
"106814","17","0.0","8","0.0","0.0","0.0","16","0.0","0.0","0.0","14","20","0.0"
"99995","20","0.0","18","0.0","0.0","0.0","20","0.0","0.0","0.0","20","5","16"
"103466","12","0.0","14","0.0","0.0","0.0","4","0.0","0.0","0.0","15","8","0.0"
"106728","17","0.0","13","0.0","0.0","0.0","15","0.0","0.0","0.0","4","16","0.0"
"103485","19","0.0","0.0","0.0","0.0","0.0","13","0.0","0.0","0.0","0.0","6","0.0"
"106403","18","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","8","0.0"
"100797","5","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","8","0.0"
"104082","19","0.0","0.0","0.0","0.0","0.0","1","0.0","0.0","0.0","0.0","20","0.0"
"97027","17","11","15","0.0","0.0","0.0","8","0.0","0.0","0.0","19","11","0.0"
"101247","18","0.0","0.0","0.0","0.0","0.0","1","0.0","0.0","0.0","18","9","0.0"
"101677","16","0.0","7","0.0","0.0","0.0","6","5","0.0","9","0.0","10","8"
"108258","8","0.0","4","0.0","0.0","0.0","10","0.0","0.0","0.0","0.0","0.0","3"
