,wilcoxonTestResult,p-value
Hypervolume,0.0,1.7343976283205784e-06
GenerationalDistance,125.0,0.02702915661831454
Spacing,27.0,2.370447702550485e-05
Contribution,0.0,1.7333066441991056e-06
