,NSGAIIITA_Hypervolume,NSGAIIITA_GenerationalDistance,NSGAIIITA_Spacing,NSGAIIITA_Contribution,KRRGZ_Hypervolume,KRRGZ_GenerationalDistance,KRRGZ_Spacing,KRRGZ_Contribution
1,0.5789236707559765,0.00420513615697429,14.929131307011419,0.010309278350515464,0.620416685644881,0.0,2.350316928670736,0.9896907216494846
2,0.5467155811762932,0.003853450437800556,10.634791019877085,0.0053475935828877,0.6004668105519844,0.0,2.748623150448834,0.9946524064171123
3,0.5317170001249905,0.004197889470145354,9.83165713815439,0.0,0.5860175177508411,0.0,2.0894200876483797,1.0
4,0.5539325668001621,0.006134769938088233,58.748622118781796,0.024539877300613498,0.58155877614794,0.00016166532901079912,3.273367372560922,0.9754601226993865
5,0.5458912135129419,0.007243800238587506,55.05764254279098,0.005780346820809248,0.5923828468534627,0.00019688987409379537,2.367349625573642,0.9942196531791907
6,0.5656287046784929,0.0021143887572186624,39.98594523100936,0.0125,0.6064323856492738,0.0,3.6121976226035564,0.9875
7,0.5339547009150589,0.0050223575466000646,20.46279864033763,0.0,0.586966032707996,0.0,2.2474868913824957,1.0
8,0.571640726940036,0.0019103483385224686,19.390210353809206,0.059880239520958084,0.5967589211648907,0.0003618938157708278,3.5242410692942894,0.9401197604790419
9,0.5373652416746332,0.004781901855498919,12.900025430917273,0.040229885057471264,0.5903290524297018,0.00016963292348667078,2.660784810508433,0.9597701149425287
10,0.5514839850266571,0.007498099444592652,46.5503514197508,0.011494252873563218,0.6388359528215406,3.988512888274417e-05,5.046526693960334,0.9885057471264368
