Time,Cost
68549.24150564104,1.6305955606983402E8
68267.65103102566,1.633713459767308E8
70199.40179888887,1.5340623376813942E8
68787.51511333331,1.613683858473449E8
72436.80708888888,1.495374420247159E8
69273.61780666666,1.5524003525283977E8
74550.36540823529,1.4877890281356686E8
68211.62613111112,1.6617536455260986E8
80810.0540823077,1.4744188596990317E8
70275.49365333334,1.5325434077835298E8
80648.21752675214,1.480122228428365E8
68677.32052666665,1.618918036084843E8
72035.67675999999,1.5153205163574228E8
72310.92952888888,1.5050952453588897E8
76918.18632888889,1.482129371254756E8
68814.3465176923,1.5661927168412548E8
70697.84098222222,1.5159088887018576E8
70607.61826222221,1.521911004879286E8
68248.72204666666,1.6351834435018384E8
70058.5919,1.548104689016874E8
79754.88114666668,1.4821062185628653E8
68584.55440000001,1.6213002489125526E8
75143.45562666666,1.4849344877090687E8
76293.95864888887,1.484581077895436E8
73477.0546,1.4936269014170247E8
72200.31210222222,1.5139716124146095E8
