Time,Cost
242419.11111111112,2.8502841918157008E7
33350.0,3.773836108715795E7
37542.0,3.5135295735617325E7
38964.705882352944,3.4004803563025214E7
35100.0,3.7135380730015084E7
35297.77777777778,3.6182044464483224E7
37312.0,3.5730189902284E7
40217.77777777778,3.369475627670043E7
41934.705882352944,3.3133894633843288E7
52278.5,3.246028247371257E7
60516.0,3.2081084957372706E7
35997.77777777778,3.5997166274007045E7
33662.0,3.7419186730015084E7
39992.0,3.396823156302522E7
50368.0,3.2720047179594923E7
34852.8,3.7330022396681756E7
33360.0,3.764484439668176E7
45137.77777777778,3.29323399573727E7
46434.0,3.2816572179594923E7
56108.0,3.232795503673778E7
62287.11111111111,3.185969858482368E7
58712.0,3.2145518846261587E7
240103.11111111112,2.853442858482367E7
235291.11111111112,2.8574121918157008E7
197677.33333333334,2.9179297473712567E7
194053.33333333334,2.9244235807045903E7
229351.11111111112,2.8670646918157008E7
207117.77777777778,2.9031938584823675E7
210741.77777777778,2.896700025149034E7
232975.11111111112,2.860570858482367E7
153325.77777777778,2.9906058584823683E7
156949.77777777778,2.984112025149035E7
140261.33333333334,3.0118355807045903E7
121652.0,3.041470914037924E7
79725.77777777778,3.1378058584823683E7
118028.0,3.047964747371257E7
83349.77777777778,3.131312025149035E7
143885.33333333334,3.005341747371257E7
72127.11111111111,3.151529858482368E7
107825.33333333333,3.07165008070459E7
110429.33333333333,3.0616887473712567E7
69523.11111111111,3.161491191815701E7
88722.66666666667,3.118338747371257E7
227035.11111111112,2.8702233584823675E7
204801.77777777778,2.9063525251490343E7
85756.0,3.125745414037924E7
201835.11111111112,2.913759191815701E7
224068.44444444447,2.8776300251490343E7
74443.11111111111,3.148371191815701E7
112745.33333333333,3.05853008070459E7
77409.77777777778,3.140964525149035E7
137945.33333333334,3.014994247371257E7
188770.66666666666,2.934988914037923E7
151009.77777777778,2.993764525149035E7
148043.11111111112,3.001171191815701E7
115712.0,3.051123414037924E7
191737.33333333334,2.927582247371257E7
134978.66666666666,3.022400914037923E7
66758.66666666667,3.1770140116569713E7
53792.0,3.2358765989118736E7
159265.77777777778,2.9809533584823683E7
163220.44444444447,2.980420691815701E7
123968.0,3.038312247371257E7
127922.66666666666,3.03777958070459E7
213057.77777777778,2.8935413584823675E7
217012.44444444447,2.8930086918157008E7
104106.66666666667,3.085162914037924E7
105509.33333333333,3.0748087473712567E7
100226.0,3.092290914037924E7
91038.66666666667,3.1151800807045903E7
94540.44444444444,3.114500691815701E7
184708.0,2.9446722473712564E7
64603.11111111111,3.182811191815701E7
44428.0,3.3037837179594923E7
181499.11111111112,2.9448241918157015E7
35691.11111111111,3.6075983274007045E7
48052.0,3.2751633846261594E7
99859.91111111111,3.1037758918157015E7
132662.66666666666,3.02555958070459E7
131096.0,3.031184247371257E7
220185.77777777778,2.8864133584823675E7
221752.44444444447,2.8807886918157008E7
96978.66666666667,3.1055275807045903E7
99643.11111111111,3.1048353584823683E7
58928.8,3.2134924179594923E7
35414.666666666664,3.611600160734037E7
53972.0,3.2349718846261587E7
55928.0,3.2344442179594923E7
66881.86666666667,3.1722967473712567E7
44249.0,3.3046837179594923E7
42316.97777777778,3.304819224308699E7
169720.8,2.962651947371257E7
205018.5777777778,2.9052930584823675E7
227251.91111111114,2.8691638918157008E7
210958.5777777778,2.8956405584823675E7
233191.91111111114,2.8595113918157008E7
171603.2,2.961612214037924E7
175660.8,2.9529994473712567E7
191954.13333333333,2.9265227807045903E7
193836.53333333335,2.925483047371257E7
132879.46666666667,3.024500114037923E7
177543.2,2.9519597140379235E7
140044.53333333333,3.012895047371257E7
164438.13333333333,2.97321728070459E7
186671.46666666667,2.937088114037923E7
240319.91111111114,2.8523833918157008E7
223851.64444444445,2.8786894918157008E7
218086.5777777778,2.8885125584823675E7
50151.2,3.2730641846261594E7
69306.3111111111,3.162550658482368E7
85539.2,3.1268048807045907E7
96761.86666666667,3.106587047371257E7
90821.86666666667,3.116239547371257E7
102007.46666666667,3.087262114037924E7
