Time,Cost
147360.22559999998,2.5111809453227058E8
144641.25587222225,2.5253781080697855E8
129556.82521333334,2.5831872071995655E8
153594.07551555557,2.4576082572655118E8
143099.0016,2.5450838337225556E8
139593.2292,2.558983884454752E8
145250.15947666668,2.518687055017268E8
135215.35299999997,2.5669936068197253E8
273815.43161888886,2.3994457788673872E8
142203.4976,2.5583090966709062E8
236662.2005466667,2.4302353493044978E8
181901.74145,2.4394624615920156E8
148752.387,2.502490763215989E8
275278.5042588889,2.375627775159746E8
149059.59039555554,2.4706398036502492E8
242324.74441777778,2.4290798457942742E8
163197.83963222223,2.4461249295464227E8
