Time,Cost
299058.38600222225,4.820393772138747E7
65144.72317333334,6.30687637658421E7
219880.0139288889,4.8249625370974734E7
265550.0960222223,4.8230053421357505E7
185146.52811111114,4.874101846084464E7
105660.28387999999,5.128499991894823E7
160274.54800444443,4.955619309536976E7
145400.13694666664,5.117731065442188E7
65145.26019555556,6.2534745479730844E7
184487.63758666665,4.933606862034485E7
66097.9353,5.714292229784608E7
82976.27199285715,5.265060742403001E7
65146.84379555556,6.0614835925038464E7
158383.54117333333,5.067912398706141E7
65188.75321555555,5.935366210586828E7
101516.12767999998,5.167186856589721E7
66392.86496222221,5.599734027482151E7
65180.27300888889,6.060377681463588E7
100938.67904,5.262602082919819E7
65674.71259111109,5.790079638978483E7
79464.62256444443,5.456503640599462E7
81732.06997857142,5.335312886823811E7
78249.20899111111,5.571727043244442E7
71799.33341777779,5.594530661028796E7
100995.10814666665,5.2563984974292934E7
65234.37278,5.892038006954296E7
151543.6991688889,5.073672332617648E7
78829.53540000001,5.5127820228958376E7
65325.86458666666,5.848673281120236E7
80791.8968,5.408511074859514E7
65466.78629999999,5.827305239955881E7
147674.88746666667,5.07771548798616E7
81390.90832444445,5.364972347063792E7
78250.47693777778,5.52807977250616E7
81383.53579999998,5.390022066842223E7
147504.11832000004,5.106622974156376E7
147491.03390666668,5.116778072618612E7
81299.66295,5.406198785386967E7
78314.65672444446,5.5231508003066055E7
