Time,Cost
162078.72623555557,4.8937873340802506E7
37270.51516888889,6.691298630575051E7
75852.52529777779,5.019632414120217E7
130311.89119555557,4.992914376646831E7
56199.8118,5.0478995884689696E7
37833.02523555556,6.057159383186549E7
37812.02326,6.313834337957606E7
38424.61485333334,5.694155104371723E7
37440.442070476194,6.565976031206761E7
141739.0925288889,4.968367595731573E7
157362.85386444445,4.9546038375668414E7
38372.747088888886,5.922863217482989E7
37653.81013777777,6.430341881771706E7
135260.2783111111,4.981446356532836E7
54647.32761333333,5.159194105391809E7
41335.37508,5.4051946887548454E7
45563.623,5.291696220108245E7
162073.3295422222,4.9293901887147754E7
41322.64406666667,5.494116642981516E7
37704.987262222225,6.3378730119660474E7
43531.65942666667,5.349175106790962E7
50294.05881333333,5.181034206375451E7
48121.25826222223,5.200482384673696E7
141684.5631822222,4.977134560790724E7
38824.944963921575,5.554862042583643E7
38015.748040000006,5.978702381994173E7
39940.02718666668,5.504232732465082E7
157370.94378444448,4.947019373435031E7
47573.69001333334,5.248823785279329E7
41664.11974666666,5.350621532786623E7
38656.410151764714,5.648840387522228E7
53931.85616,5.171633984018443E7
37835.77534222223,6.017895626319745E7
45938.022,5.260204338956954E7
38139.73127111112,5.924431900180607E7
38787.95829725491,5.592373399439342E7
38710.55676392157,5.612393475807854E7
