Time,Cost
96889.14197333333,4.0751253576998875E7
27753.778960000007,4.896290448472663E7
29254.117043921568,4.724079943376891E7
28454.881875555555,4.805504276252662E7
29365.856320000006,4.62051783721854E7
30389.10344392157,4.514190453976635E7
31627.787299999996,4.454910563766637E7
31236.249346666667,4.5042937999166355E7
30239.705986666668,4.578408438948541E7
87187.08830666667,4.09089119490822E7
83473.68830666668,4.09460459490822E7
93175.74197333334,4.0788387576998875E7
39543.5052,4.326109821475657E7
29684.391626666667,4.579672872108541E7
35648.18505,4.411367076366637E7
54785.84004000001,4.189547180220965E7
36382.46220705882,4.389362602408008E7
38607.68824,4.343516505375658E7
34603.164000000004,4.418451408209968E7
39747.82418666667,4.296736000784043E7
69363.87630666667,4.1330034216159135E7
63960.03550666668,4.145718341145325E7
57268.38070666668,4.1622117913376324E7
90093.39957333334,4.085003442499887E7
74987.50510666668,4.113484199237633E7
82477.14494666667,4.0999610154682204E7
80391.34590666668,4.10076927970822E7
92179.19861333334,4.0841951782598875E7
42211.29338666667,4.274864985867421E7
89096.85621333335,4.090359863059887E7
55770.145300000004,4.1701559214709654E7
77073.30414666666,4.112675934997632E7
59354.17974666667,4.161403527097632E7
65754.56390666668,4.14333218700822E7
40732.24982666667,4.294479239835113E7
62672.221506666676,4.14949687180822E7
72504.96444000001,4.121428329370966E7
73990.96174666667,4.118840619797632E7
33135.35112,4.449648992636636E7
33797.0628,4.434005552166636E7
79394.80254666667,4.10612570026822E7
61477.494840000014,4.1536624712786585E7
68367.33294666666,4.138359842175913E7
48105.22754666667,4.221268319388658E7
71449.67534666667,4.132195157375913E7
46381.21922666667,4.2238553580286585E7
38488.45508705882,4.358316504758991E7
56271.83734666667,4.167568211897632E7
37049.80984,4.381626275808009E7
33181.91904,4.4364797965452075E7
71508.42108,4.126784749930966E7
53234.11369333334,4.202445695825913E7
43438.66028000001,4.263357529920754E7
48766.93922666667,4.218997120988658E7
49323.25350666668,4.213640700428658E7
53895.82537333334,4.1949036007809654E7
44868.64848444444,4.244950103951735E7
51955.92326666667,4.2035471500992455E7
67042.37790666669,4.139553656345325E7
78069.84750666667,4.107319514437632E7
37957.59068,4.365302078098991E7
43758.37044000001,4.253098707300755E7
66881.33564,4.1409475517492466E7
60350.72310666668,4.156047106537632E7
37236.70706666667,4.374533734217376E7
51510.10537333334,4.209460843025913E7
45679.23866666667,4.240338822161991E7
50045.12965333334,4.2125392461553246E7
60189.68084000001,4.1574410019415535E7
77908.80524000002,4.108713409841554E7
46240.91110666668,4.2287162294517346E7
45930.22653999999,4.2340726500117354E7
40729.75404,4.2957675898351125E7
50706.84133333334,4.211215822795325E7
43274.670026666674,4.269963000860754E7
37404.411100000005,4.366860837167377E7
42281.808399999994,4.270717090460754E7
51644.75190666668,4.204104422465912E7
44739.645746666676,4.2497633216407545E7
44077.934066666676,4.2518451591007546E7
53730.55094666667,4.2016374315859124E7
44443.174699999996,4.250873678367422E7
45859.97503999999,4.238824620045068E7
50648.20854666667,4.211885720659246E7
42838.85854666668,4.270589235254087E7
53789.29668,4.1988210055142984E7
37514.215059999995,4.3658670203884035E7
43014.55742666667,4.270588542094087E7
