Time,Cost
79822.71986499999,1.290318004680409E8
79456.97632,1.3086907819181637E8
79455.98538499999,1.3137659906367457E8
80205.93288000001,1.2630933456042205E8
81772.79829176473,1.2518400313817598E8
104124.45255111111,1.1616944707604426E8
153994.5254933333,1.1306555657184899E8
79456.878745,1.3088456150680785E8
82821.24179058826,1.2436409737525296E8
91556.71743111112,1.2063500380220643E8
79455.985185,1.3193578442555945E8
79656.917865,1.2924048086065996E8
83560.19945393936,1.2393569201810512E8
104128.36415111112,1.1565997245758587E8
79870.533105,1.28944480175934E8
80940.371,1.257572079973886E8
79751.42830499998,1.291136770814241E8
82609.46451111112,1.246765515567553E8
200346.73215999999,1.1034240228696156E8
88788.95320000002,1.2263645249541737E8
94394.91452888891,1.1666004760162744E8
428041.35703111114,1.0683224177641658E8
82089.13846666667,1.2486493505776905E8
84387.76484444446,1.231339934663427E8
415732.0275644444,1.0732591301687154E8
84240.15086666668,1.2375722930933952E8
82817.98677882354,1.2438042199014896E8
91713.10103111112,1.1837503734772497E8
190892.73924999998,1.1053400506451973E8
79455.9282,1.3469034512101805E8
232741.9449377778,1.10011609799622E8
91945.59164444446,1.1781225279590867E8
150398.23227777783,1.1321351849594347E8
279134.8264444444,1.0934180999657795E8
190304.46830714284,1.112439334796339E8
279175.8947244444,1.0907530485800858E8
428224.9630977778,1.0652654841993114E8
91942.32508444446,1.1836403462392305E8
113327.21000666669,1.1450415197741915E8
80056.26176222228,1.2718358820811819E8
291415.9909777778,1.0830974251966184E8
269830.64735000004,1.0947948611429782E8
91251.44922222223,1.2171903746268854E8
428009.28369777784,1.0690358225771923E8
104121.18599111112,1.1620006725898807E8
79870.51908,1.2896641966240068E8
138254.03533777778,1.143716166565604E8
109948.02113303028,1.1467069538703278E8
79870.838145,1.2838280678938554E8
183152.13428000003,1.129228630466632E8
108723.38830444447,1.151123561152621E8
232760.45060444443,1.0961428903407204E8
81396.05845333333,1.2526080155146408E8
97373.0629666667,1.1657774226833464E8
93505.84583333335,1.1695852554379252E8
79455.97116,1.3244035030934261E8
82515.89313333335,1.2471735656912197E8
104124.91015111111,1.160590921475449E8
381801.6777911111,1.0768145895489071E8
79539.81228,1.2951624827217911E8
104168.61535111112,1.1539622786966135E8
415821.7387377777,1.0695619222131367E8
190893.97825,1.104194332403935E8
291520.3227111111,1.0814770679822707E8
189451.72185,1.1163186906036732E8
87229.02491111113,1.2299705729402365E8
90515.5562888889,1.2241421107127829E8
183222.54818666668,1.1273600545797294E8
91610.74688444445,1.1918700966862428E8
91597.89308444445,1.1946838862966445E8
84299.88042222224,1.2364120115374275E8
81092.92306666667,1.2570148291970356E8
79456.990345,1.3004962075400233E8
79455.92839999999,1.341725884631086E8
148383.38102857146,1.139937466961919E8
279188.7485244444,1.089805240850863E8
200357.97523999997,1.1029994490995555E8
269704.32185000007,1.0954692368157232E8
232743.49373777778,1.0964254062940857E8
93496.3754666667,1.1723347214137404E8
381598.3945911111,1.079661491110051E8
79990.04753166666,1.2732652944487411E8
80356.38150666667,1.2593265070777613E8
92245.57001111112,1.1735836488090867E8
232698.92820444444,1.1006721304642111E8
82037.75617777779,1.2510704680605951E8
100049.66138666667,1.1628125657891665E8
