Time,Cost
128.914884,101335.78576755508
969.5205375999998,86372.11314169594
937.5819775999997,86490.05041700756
784.6845479999998,86545.58615261866
136.9451027,100537.23254450956
138.0288,99785.07042071312
223.48085199999997,94722.22783222057
131.8023584,101258.14296701313
190.2234416,96747.98042333493
192.4202416,96276.75090341395
136.12357379999997,100766.89474906118
168.0326754,98180.65596190507
245.85718839999998,93571.9540524104
241.9135884,93830.36679139042
169.7441384,97709.56445604908
142.4198764,99472.34391364241
223.4005384,95171.07702171395
768.4605479999999,86626.71016526865
286.41486839999993,92704.88974676667
151.65549959999998,98845.35431050304
173.6221888,97581.80407602382
144.0198764,99259.9526708015
233.58912999999995,94462.40495005989
248.05893679999997,93368.75987820202
175.70989199999997,97287.8805755516
237.5327672,94173.58944813284
238.83636719999998,93997.99149709196
758.6474847999998,86770.55979489644
776.0808679999998,86574.11696834088
232.08382399999996,94535.29675914324
277.21921,92821.18325448006
261.1135884,93145.17016097982
199.715605,95949.50897261371
144.8572278,99078.49807430354
154.4371644,98608.1224899096
140.08952159999998,99725.39636749342
205.62274159999998,95735.07568152506
195.2701169,96082.10920819172
251.72950840000001,93202.09533653536
514.7007036,89755.01906500758
293.7223672,92634.27830688258
355.06786679999993,91757.30575789648
269.1135884,92958.87773439648
481.69573279999986,90176.24606736867
559.6783879999999,89179.27881306312
634.7766128000001,88258.76588488693
349.64496959999997,91823.33048146871
573.4294447999999,89000.88346064647
313.51309159999994,92362.18134857703
184.241892,96951.59640390439
215.4005384,95332.87968838062
195.1986669,96184.99733041394
136.8721199,100727.80758855402
479.15659159999996,90243.8745691187
566.3245468,89123.79783527146
736.3385127999999,87017.88140567143
216.93069619999997,95293.97314012304
221.77216159999998,95204.47103721395
249.9135884,93225.92928653536
615.9372296,88527.36755489248
548.0974448,89361.50955806315
541.9875436,89441.37624422583
522.7811204,89704.0800767576
631.545664,88319.22649072026
265.2646452,93094.91547866314
682.8090447999999,87650.716043077
308.06948079999995,92389.04640562147
188.94413839999999,96905.54785862663
610.2091667999999,88603.84257285479
407.371216,91073.36303597978
150.91690549999998,99015.30999316896
214.1387488,95490.11698338062
731.9071879999999,87056.4476320536
297.64558839999995,92552.8939158576
268.3903672,93048.50725367427
395.8994884,91281.29362678537
210.74319519999997,95639.1292398281
698.7170868,87550.31529007702
495.12917279999994,90023.58417061869
468.03086959999996,90362.84568153534
738.5078047999998,86931.00759972977
640.9575835999999,88230.73050389644
237.549162,94133.20320589727
755.0678047999997,86853.55250331313
182.116432,97072.56369444048
276.3903672,92929.22970367427
448.2989915999999,90614.60926071869
201.3249596,95844.50897261371
387.8994884,91386.29362678537
473.1057911999999,90266.87768581312
414.01842679999993,91013.87887614645
203.14087959999998,95820.67502261371
654.5948635999999,88007.44907629646
390.4916204,91333.35865500757
301.8652916,92504.82374263534
570.9486083999999,89080.66439651865
748.3685135999999,86889.66376822026
412.72481159999995,91072.5014734798
679.1975036,87723.60886009721
359.9952204,91739.5392817298
627.6188816,88361.36209155359
701.4918847999999,87424.74564469804
647.549508,88123.9859703409
382.230964,91442.89889253814
450.24819119999995,90554.41056007979
321.51309159999994,92200.16769847981
150.462804,99038.95393205788
305.64558839999995,92446.7107542208
509.1659235999999,89847.65640219949
463.87981279999997,90398.00311586866
417.67171239999993,90972.06831839646
553.614388,89260.61258806314
536.4335668,89492.14541543815
489.1074668,90160.40664367427
647.0895836,88177.7335763409
722.5751879999999,87135.78457576867
692.8623667999999,87558.28468496313
642.2140423999999,88192.02399146314
491.75387119999994,90069.38629525757
664.0623668,87902.00667825478
212.6763672,95517.72667241545
651.7005647999999,88085.65736739643
726.8475879999999,87104.03122506313
551.9586559999999,89336.29586806314
211.62024159999999,95638.86862466851
319.50377719999994,92278.43402385758
749.5285479999999,86860.36102488694
526.4068083999999,89653.7464449548
529.85889,89615.98614920203
400.088168,91216.49747431313
170.9232752,97655.23277617937
158.58822120000002,98485.01038527071
156.378884,98539.91929325483
342.58879279999996,91960.06978156827
345.0939128,91898.35379722978
296.18109159999995,92608.78508992425
675.0464467999999,87810.02744385201
434.89248799999996,90777.35962283587
541.51649,89475.11328158586
317.0615084,92300.55767104923
709.5041527999999,87323.652953327
453.82459159999996,90540.5245691187
756.3685135999999,86784.66376822026
535.09617,89524.59091496313
742.1180279999999,86907.23229570915
579.9717112,88992.15040006315
705.2017615999999,87387.15218203282
722.0912679999999,87182.09158805359
372.1025695999999,91611.48740693695
396.17121599999996,91230.19553597979
662.5274803999998,87939.65466547977
720.6918847999999,87243.88070709091
378.41892359999997,91460.25049789647
728.6635079999999,87086.70953839646
659.121988,87990.06662520916
440.7121912,90688.1555296187
507.06142239999997,89907.33287091312
361.65391279999994,91698.02708116916
531.9468668,89558.07619553282
163.43579640000002,98271.86200890958
445.7801912,90665.2254536187
559.2888236,89256.9988418814
186.9797616,96910.90555069048
652.7268635999999,88058.65795326869
405.8117851999999,91166.47542052028
471.15659159999996,90326.22568022982
623.9372296,88405.06896872581
457.2365679999999,90530.11215561871
618.3038236,88515.97966572978
568.9999603999998,89101.84541464645
304.92236719999994,92500.70390794976
166.9224055,98237.16040527071
420.4638668,90963.40314709091
497.44912039999997,89968.17982847984
712.9751879999999,87291.1058115536
501.87897639999994,89960.48617832981
668.0250867999999,87877.06575486824
432.676568,90832.41063335759
513.2153436,89812.43601014646
324.7130916,92200.00268310362
675.6528467999999,87756.55988408813
621.5969328,88445.19258269921
372.88816799999995,91572.96878592027
713.1758047999998,87265.29631978534
163.4169055,98354.03785160837
375.95151279999993,91485.53890397979
586.5653803999999,88880.67649326868
670.8715647999999,87822.5801304758
428.83268839999994,90847.5192092298
444.0890883999999,90670.11491663536
589.9894448,88866.32682984091
179.5600584,97157.21493945995
