,NSGAIIITA_Hypervolume,NSGAIIITA_GenerationalDistance,NSGAIIITA_Spacing,NSGAIIITA_Contribution,KRRGZ_Hypervolume,KRRGZ_GenerationalDistance,KRRGZ_Spacing,KRRGZ_Contribution
1,0.8434762415249274,0.0,224.1306417563176,0.9590443686006825,0.6737584238931189,0.012280082864487597,926.4152361748277,0.040955631399317405
2,0.8606559608628395,0.0,523.1980685956968,0.9931662870159453,0.6428726576354808,0.009244030576681038,510.4763781910615,0.00683371298405467
3,0.8494881644495268,4.877707810807051e-05,350.25838395968,0.9423558897243107,0.6885384504424614,0.010854703773299433,418.7669388692659,0.05764411027568922
4,0.8040533431409457,0.0,326.4317877602315,1.0,0.55701420931543,0.01845761153525007,2930.4974883838618,0.0
5,0.8852304461854893,0.0,228.2189790372127,0.9739696312364425,0.6326396950380654,0.011397636957626396,569.9349980681596,0.026030368763557483
6,0.8048473601220072,2.2214829539893395e-05,209.02193809895894,0.9754098360655737,0.6203629720446497,0.010162717558673541,552.8275530782166,0.02459016393442623
7,0.828050733824307,0.0,221.4362706658562,0.9682539682539683,0.6311009580268928,0.011010089328616942,530.9860689715067,0.031746031746031744
8,0.8363862114880813,4.3313382455108826e-05,348.3007447735629,0.9731958762886598,0.6294426605445141,0.008933038688726308,771.0640659623153,0.026804123711340205
9,0.863609435717539,0.0,275.51921829733294,0.9973684210526316,0.6632167615176007,0.012787428747790125,480.72763226617997,0.002631578947368421
10,0.8323993283267752,7.786659256385716e-05,544.0313975313268,0.9660493827160493,0.6743120719378051,0.010990688433301166,909.577347533262,0.033950617283950615
11,0.8160532944614115,2.7110525761684375e-05,505.94086626362474,0.9744136460554371,0.6356458363131297,0.007149606032260477,584.9085376116133,0.0255863539445629
12,0.7947633416729066,8.492134281530565e-05,257.81199383642496,0.9655913978494624,0.6144786005687745,0.013601428699694761,758.5703545869545,0.034408602150537634
13,0.8516767819547298,2.9981223919893844e-05,779.4561199281288,0.9957264957264957,0.6461276504852013,0.01089431415319366,2323.6913709531973,0.004273504273504274
14,0.8292380479300708,0.00012936115778633075,425.82092539069214,0.9652509652509652,0.6538755893111171,0.015511218723127424,1285.571743904535,0.03474903474903475
15,0.8485059335698075,0.0,446.6421143701721,1.0,0.6045216968985184,0.017211622004024353,1023.1526624325634,0.0
16,0.795892246502847,0.0,187.42999412223176,1.0,0.5619472952762994,0.016039658495908573,669.8022937266202,0.0
17,0.8932954655078229,4.6012986040296925e-05,192.96662439855172,0.9788732394366197,0.6902464383929031,0.010979582749370475,1770.353639850794,0.02112676056338028
18,0.8720507336255663,0.0,142.08973091411684,0.9880952380952381,0.7109103848415916,0.014066720620173152,1478.587802542113,0.011904761904761904
19,0.8223682393557815,0.0,256.0632971768907,0.9957356076759062,0.6256535109591721,0.01603855711605382,721.3702417065621,0.0042643923240938165
20,0.8435666928155071,0.00025154466924245445,453.350340725707,0.9730848861283644,0.7344337995823046,0.007863396056142367,933.4027980552645,0.026915113871635612
21,0.8434181074868936,0.0,285.10908173650824,0.9903225806451613,0.6332939755933272,0.010264455714824877,1147.7953251949746,0.00967741935483871
22,0.8901088305542637,0.0,245.9639742240593,0.9872611464968153,0.6999053330824455,0.014750577231583174,1029.8135134317283,0.012738853503184714
23,0.8511606662588246,0.0,247.8668278289931,0.9616613418530351,0.7021845570999244,0.01242118562184586,2470.3244370884768,0.038338658146964855
24,0.8162531909193824,0.0,179.02401664352863,0.9734693877551021,0.6620647431773284,0.012891431968832698,691.9949342313894,0.026530612244897958
25,0.8182732239623435,0.0,502.88371363462574,0.9683972911963883,0.6480931476229588,0.008976767885531707,824.6843538772104,0.03160270880361174
26,0.8703215638320696,0.0,301.79766743255743,0.9815950920245399,0.7577796097181089,0.010040028325482876,6446.365547387681,0.018404907975460124
27,0.8361543085998464,0.0,264.82030367273853,0.9771241830065359,0.6560770819822817,0.01133560952175188,1050.23698905605,0.02287581699346405
28,0.8566401766488125,0.0,198.96819886048155,0.9884169884169884,0.6702318397449428,0.014261083850955338,624.3947108473523,0.011583011583011582
29,0.9080466678259299,2.499268826516408e-05,344.310317459727,0.9820971867007673,0.6997227260819189,0.007185365129818278,789.0101795086964,0.017902813299232736
30,0.8547724885318444,6.51582810658188e-05,352.7723463965099,0.9729166666666667,0.7186968138936832,0.009865110064658896,377.5620039105799,0.027083333333333334
