"SID","Time","Cost"
"1","2267.579343222223","1102231.5938402377"
"2","1545.3011305555558","1328919.3174009612"
"3","2048.313146111111","1153828.3393197018"
"4","1865.4303528412695","1227881.572739921"
"5","1679.183938333333","1287570.3480076462"
"6","1817.9959159999996","1283581.0592213334"
