Time,Cost
2298.747497015152,780426.5383669713
1009.3220441666668,1000066.6604680499
1014.6549721348485,948121.9984775394
1066.7374744373737,879792.3621758964
1626.7497969998553,809278.1001858553
1907.1733262333337,806833.8858135865
1161.2663069538237,872860.8034444029
2219.0909784787873,796929.0397243277
1380.581915015873,840298.6185569331
1326.94496320303,867964.5791609627
1535.3144309025965,835302.0302749282
1614.9701124616163,832127.8790330193
1373.605003007071,858710.0595341804
2085.886446122223,797411.1314403248
1959.5642291513707,806176.97951583
2035.3665546030302,804127.5714496457
2041.2297716535356,799269.1938844576
