Time,Cost
45259.241186666666,4.2151303489116706E7
211766.8868088889,3.744854874842913E7
68433.38892444444,4.0563088631177045E7
68361.84991111112,4.1083382705013834E7
211551.39934222217,3.747888786417177E7
68361.68751111111,4.130246273988319E7
79440.06800000001,3.953447178059688E7
212187.49967555556,3.743101065927782E7
45258.97070666667,4.217440563728352E7
82670.41965000001,3.918726915541868E7
89301.81805333335,3.917343592820609E7
37620.11698888889,4.775411625029863E7
79447.92250000002,3.953252922181052E7
38032.787350196086,4.5751196945414186E7
166485.4709288889,3.772252950259825E7
42608.83744666666,4.324264451440953E7
68433.47292444445,4.0554646525964946E7
39399.11072627451,4.53422794658577E7
139588.49760888887,3.875186586517878E7
41864.99360078432,4.3299672392640986E7
40021.68716196079,4.409510752307203E7
166219.21442666667,3.798410301303843E7
42645.02056666666,4.294311361575303E7
68432.20452444445,4.057985162345801E7
68362.16285777777,4.07789229520988E7
43242.294186666666,4.26001947048666E7
139774.11848888887,3.86368649889363E7
158832.7394811111,3.8493407923492126E7
45273.57672888889,4.185153469769774E7
159857.94358222221,3.8428777829939604E7
147661.29224444446,3.862729105382413E7
81762.06215000001,3.920528360578748E7
43086.171586666664,4.2658014095552884E7
39472.38537960784,4.518637938839434E7
39652.60935411765,4.464599878730301E7
44848.051733333334,4.220167696252262E7
37451.60615019608,4.966835927541849E7
159876.9305688889,3.825660075114377E7
68362.04199111111,4.088876159041515E7
68362.64916444445,4.065311204973036E7
166218.7130888889,3.801031885120355E7
223879.8918622222,3.717449229021591E7
40552.21390666667,4.333211005339211E7
41727.65137607844,4.331439104758465E7
223429.96404444447,3.740759435208504E7
80645.87100000001,3.927475254450108E7
68361.72437777778,4.112477196148945E7
37620.68065555555,4.7729532081079446E7
68361.70015111112,4.117791687871848E7
223878.0608222222,3.739220679434854E7
39451.16842666667,4.5212641545257285E7
79267.60900000003,4.0311959624549516E7
166486.3486488889,3.7699683954597585E7
38082.881925,4.54954972352281E7
102143.56001777778,3.889095165018902E7
79273.46650000001,3.978298332787925E7
79269.15100000001,3.987515838157959E7
211321.93495555557,3.759131108533555E7
68449.15363111111,4.048437598216546E7
39834.709303137264,4.454528697884706E7
166191.17702222223,3.802133000952131E7
39912.18920117647,4.428399732028484E7
79448.058,3.9296306691359416E7
147664.24836444444,3.85442799762027E7
37767.70186745098,4.648726533636689E7
45272.50117333333,4.205424490889692E7
150726.4730444444,3.852342805105318E7
39558.54227176471,4.4992314228700936E7
68460.13411111111,4.042454975903316E7
39571.03401529412,4.484306971472987E7
159859.8264622222,3.833228876127751E7
38030.42085607844,4.6209674471705385E7
43269.70208,4.2274339493043676E7
39932.56795921569,4.414524281785271E7
166246.31796888888,3.788300728438309E7
37583.84685607843,4.8266895595026895E7
159874.69812888888,3.8308237183387995E7
211544.6955422222,3.756943917135703E7
38031.918156078435,4.615721142523878E7
178787.84274222222,3.762870002348978E7
111082.51711999999,3.878908845900333E7
68379.96969777778,4.062369857053952E7
45272.417173333335,4.2130752273194015E7
39417.95394588236,4.523912791579951E7
37719.59982888889,4.748179266559078E7
39393.07778117647,4.537409891943958E7
39474.19149921569,4.5091867915009215E7
