"SID","Time","Cost"
"1","202.26758","216648.89994748475"
"2","330.20405666666665","188552.8964319011"
"3","282.09140833333333","190621.20966636835"
"4","207.26144666666664","204619.73992579294"
"5","243.6721121111111","193211.48466946968"
"6","220.61147000000003","201149.31469341155"
"7","230.09011222222222","198827.33611358155"
"8","237.01238606060605","196318.51205144663"
"9","234.79625466666667","196859.37596792923"
