Time,Cost
80534.55722142856,1.8797071515131655E8
300520.50888,1.4660376502870652E8
88261.50686269841,1.7571077871257925E8
194224.72374222227,1.5218417974341476E8
238974.65724888886,1.5189857498737818E8
289696.7035422222,1.491296386507867E8
249584.37556,1.4941440612938744E8
128936.9364,1.5332695178012058E8
88282.70481269842,1.6731100188390154E8
87749.1193709402,1.8207065174731696E8
168251.746,1.52568698343323E8
81544.71866666667,1.836505012460837E8
114868.2509866667,1.5498258409076616E8
103068.36019333333,1.5599475835217443E8
168521.51429333337,1.525217218650306E8
81430.8134642857,1.8653954482002947E8
124998.86482666669,1.5473484128300014E8
102967.61901999998,1.5809106844514346E8
92850.10105215684,1.622221808909524E8
93199.30570000003,1.6134494233872068E8
102903.15700666666,1.60986415055846E8
102945.98498222223,1.601521575465258E8
92786.17599999999,1.644278519444458E8
91644.95151923076,1.661513007521152E8
91947.35765476192,1.646893466819502E8
88602.5077793651,1.6622998941134962E8
