Time,Cost
38241.41176470588,2.867753876918995E7
217458.0,2.212891493137255E7
54285.0,2.567488124737517E7
117369.24444444446,2.321831438836817E7
43782.13333333333,2.6650650500430934E7
142558.84444444446,2.3197540887718495E7
209547.82222222222,2.22174168326151E7
68211.37777777779,2.550300338296344E7
189366.22222222222,2.232860635271428E7
167561.33333333334,2.2375961728129707E7
189759.82222222222,2.231514959696186E7
104921.11111111112,2.3391155874039356E7
68834.66666666667,2.4802141200160947E7
68173.77777777778,2.5655157840587515E7
75054.66666666667,2.4517361341610998E7
161406.75555555557,2.254849971182575E7
68998.96666666667,2.4762578034529198E7
38696.882352941175,2.8357643584913447E7
167559.55555555556,2.2403236399824027E7
38757.5,2.787083789027149E7
147322.04444444447,2.3062735022606473E7
43340.26666666667,2.725336932862888E7
82298.84444444445,2.379490449691158E7
154006.44444444444,2.2760523502459947E7
99215.5888888889,2.3400653798993487E7
38723.083333333336,2.8055228307243407E7
142692.1777777778,2.3074735744861353E7
95345.95555555556,2.3553169962687645E7
215018.32222222222,2.2179995370921556E7
41036.92156862745,2.736800951385053E7
43441.06666666667,2.6871981832758736E7
88338.66666666667,2.376117117146089E7
89763.55555555556,2.358523675454284E7
75440.44444444445,2.4399039010647852E7
156378.75555555557,2.258871113283775E7
148946.04444444447,2.2773252382532503E7
211602.0888888889,2.221617211103929E7
38768.3,2.7656644321428563E7
99077.55555555556,2.349575596425959E7
81787.25,2.4076535197066005E7
43437.86666666667,2.708311586177547E7
81830.84444444445,2.3917049829059824E7
155279.55555555556,2.2685915222207528E7
38245.078431372545,2.8527667362224367E7
95803.37777777779,2.3504190606963295E7
77885.0,2.4376361062186178E7
38751.9,2.8033123121040724E7
78567.0,2.4200485991229355E7
43345.333333333336,2.7117999444730103E7
147823.64444444445,2.2925711761070624E7
40901.27843137255,2.7458355657060258E7
38268.078431372545,2.845817512412913E7
40505.945098039214,2.7500134490393594E7
148467.64444444445,2.2874875382065646E7
78457.0,2.4278446949687567E7
80348.08888888889,2.408739219814336E7
89398.75555555556,2.370174559008475E7
79780.88888888889,2.4151981130054582E7
78077.07142857143,2.430546259284996E7
155298.31111111114,2.260949500585362E7
40204.65151515152,2.7564428779157113E7
89676.53333333334,2.3661034064587373E7
39394.41176470588,2.7623146545949142E7
88947.17777777779,2.3754606565589637E7
43677.06666666667,2.6713149500053868E7
82297.06666666667,2.3861711472635202E7
39501.66274509804,2.7567868406898648E7
80165.6888888889,2.4139280808248937E7
89753.95555555556,2.361208560339007E7
148650.84444444446,2.2816120676398765E7
43454.13333333334,2.6796723302844204E7
43600.26666666667,2.67827541605437E7
147889.64444444445,2.2916701146250807E7
82290.84444444445,2.3889635765819144E7
38245.54901960784,2.8481689070907842E7
43769.6,2.669158558590102E7
156301.95555555559,2.260631418950657E7
38773.1,2.7640891698376782E7
148830.84444444446,2.2809325263484888E7
68835.55555555556,2.4781371192720674E7
43353.333333333336,2.7085243116659477E7
38735.27843137255,2.8045468200100552E7
43513.86666666667,2.679613115937493E7
43559.333333333336,2.678327086757523E7
