"BugId","GT","jdt","jface","core","swt","ui","debug","ltk","text","jdi","search","compare","other"
"72233","18","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3","1","20","0.0"
"73961","18","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","12","0.0","16","0.0"
"72388","6","0.0","0.0","6","0.0","0.0","0.0","15","0.0","1","0.0","1","15"
"72889","18","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","13","0.0","5","0.0"
"73336","10","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","14","0.0","17","0.0"
"72946","5","0.0","11","0.0","0.0","0.0","0.0","16","0.0","6","0.0","1","0.0"
"74504","8","0.0","0.0","9","0.0","0.0","0.0","3","0.0","16","13","2","16"
"74244","19","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","7","0.0"
"72772","14","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1","0.0","1","0.0"
"74519","18","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4","8","0.0"
"73530","18","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","7","0.0","11","0.0"
"72923","16","0.0","0.0","3","0.0","0.0","0.0","7","0.0","9","0.0","16","11"
"73987","4","6","0.0","4","0.0","0.0","0.0","18","12","6","13","4","3"
"72510","16","0.0","13","0.0","0.0","0.0","16","20","0.0","20","0.0","20","0.0"
"73822","4","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1","0.0"
"73232","4","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","17","0.0"
"73347","17","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2","0.0","13","2"
"72942","5","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","20","0.0"
"74514","19","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","17","0.0"
"73896","18","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","9","0.0","13","0.0"
"72371","11","0.0","0.0","0.0","0.0","0.0","0.0","0.0","12","20","0.0","10","0.0"
"73579","2","0.0","0.0","11","0.0","0.0","0.0","8","0.0","7","0.0","7","9"
"72230","12","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","13","0.0"
"72859","18","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3","0.0","3","0.0"
"73245","14","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","16","0.0"
"74592","14","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","16","0.0"
"73486","7","13","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2","0.0"
"73255","12","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","11","0.0","8","0.0"
"72795","7","0.0","0.0","4","0.0","0.0","0.0","9","8","16","0.0","4","13"
"73573","5","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","11","0.0"
"73198","7","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3","18","0.0","6","0.0"
"72962","17","0.0","0.0","4","0.0","0.0","0.0","15","0.0","3","0.0","14","17"
"72891","18","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","6","0.0","20","0.0"
"72248","18","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","15","0.0","18","0.0"
"73678","14","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","9","0.0"
"73696","14","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","6","0.0","9","0.0"
"72501","5","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","8","0.0","16","0.0"
"73048","18","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","13","0.0","2","0.0"
"73680","7","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","14","0.0"
"73018","3","0.0","0.0","17","0.0","0.0","0.0","1","7","1","0.0","16","8"
"73762","12","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","9","5","11","0.0"
"74355","18","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","20","14","0.0"
"73983","4","0.0","0.0","2","0.0","0.0","0.0","16","0.0","11","0.0","0.0","16"
"72882","18","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","14","0.0","12","0.0"
"72792","15","9","0.0","0.0","0.0","0.0","0.0","0.0","5","18","0.0","14","0.0"
"73864","3","0.0","0.0","7","0.0","0.0","0.0","20","4","9","0.0","9","7"
"73794","4","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","9","0.0"
"72560","18","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","8","0.0"
"72683","12","0.0","17","0.0","0.0","0.0","0.0","6","0.0","8","0.0","20","0.0"
"72520","6","0.0","0.0","0.0","0.0","0.0","5","0.0","0.0","3","0.0","15","0.0"
"72780","7","0.0","0.0","0.0","0.0","0.0","0.0","0.0","13","20","0.0","1","0.0"
"109777","4","0.0","0.0","9","0.0","0.0","0.0","15","9","1","0.0","0.0","0.0"
"73884","10","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","15","0.0","1","0.0"
"73356","12","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","14","0.0","6","0.0"
"72547","9","0.0","0.0","2","0.0","0.0","0.0","16","2","3","0.0","13","3"
"72798","7","0.0","0.0","0.0","0.0","0.0","0.0","15","16","2","0.0","7","1"
"74262","3","0.0","0.0","0.0","0.0","0.0","16","0.0","0.0","17","0.0","3","0.0"
"72348","12","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","13","0.0","1","0.0"
"73561","18","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","15","5","17","0.0"
"73337","17","0.0","0.0","3","0.0","0.0","0.0","2","0.0","11","0.0","5","1"
"73992","3","0.0","0.0","9","0.0","0.0","0.0","18","18","8","0.0","8","20"
"74085","15","0.0","0.0","9","0.0","0.0","0.0","8","0.0","0.0","0.0","0.0","0.0"
"72238","5","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2","0.0"
"73479","10","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","20","0.0"
"74320","19","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","7","0.0","6","0.0"
"74934","5","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1","0.0"
"73254","1","0.0","0.0","0.0","0.0","0.0","0.0","10","0.0","17","0.0","16","11"
"72553","3","0.0","0.0","5","0.0","0.0","0.0","2","0.0","15","0.0","15","4"
"72352","5","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","20","0.0"
"73740","19","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4","0.0"
"73371","18","0.0","1","0.0","0.0","0.0","0.0","0.0","0.0","2","0.0","1","0.0"
"74420","14","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","7","0.0"
"72992","2","0.0","0.0","0.0","0.0","0.0","0.0","16","0.0","7","0.0","2","1"
"72912","6","0.0","0.0","1","0.0","0.0","7","5","0.0","7","0.0","19","0.0"
"72801","15","0.0","0.0","0.0","0.0","0.0","0.0","0.0","6","19","0.0","0.0","0.0"
"73891","12","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4","0.0","8","0.0"
"72684","12","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","9","0.0","12","0.0"
"73286","14","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","7","0.0"
"74601","3","0.0","0.0","6","0.0","0.0","0.0","11","0.0","20","0.0","17","17"
"74513","8","0.0","0.0","2","0.0","0.0","0.0","7","0.0","9","0.0","7","3"
"74233","1","0.0","0.0","8","0.0","0.0","0.0","4","0.0","11","0.0","9","8"
"73700","9","0.0","0.0","15","0.0","0.0","0.0","11","11","5","0.0","6","11"
