"SID","Time","Cost"
"1","236.49930666666663","226806.2529002817"
"2","385.71086","202090.60054936874"
"3","322.3334233333333","202398.62644011003"
"4","243.31176","216727.24756430046"
"5","249.74867999999998","210755.2746569571"
"6","304.297496","206552.5346869444"
"7","285.3114479999999","210594.58017405163"
"8","249.51495999999997","216564.27561502025"
"9","299.1324905555556","207436.15360508586"
"10","290.622845","208931.53851066664"
"11","291.748112","208223.14567602522"
