"BugId","GT","Prof 1","Prof 2","Prof 3","Prof 4","Prof 5","Prof 6","Prof 7","Prof 8","Prof 9","Prof 10","Prof 11","Prof 12"
"45729","73","30","59","23","59","0.0","33","0.0","0.0","32","0.0","67","0.0"
"51085","57","28","65","32","49","0.0","14","0.0","0.0","2","0.0","40","0.0"
"50534","59","32","31","7","32","0.0","3","0.0","0.0","24","0.0","19","0.0"
"40916","57","48","14","40","26","0.0","49","0.0","0.0","33","31","23","0.0"
"71747","59","19","19","31","67","0.0","26","0.0","0.0","14","0.0","28","0.0"
"39024","15","30","39","49","26","0.0","32","0.0","75","48","0.0","32","0.0"
"64362","75","57","61","13","48","0.0","9","0.0","0.0","49","0.0","49","0.0"
"42138","15","49","26","59","57","0.0","48","0.0","0.0","32","23","11","0.0"
"40060","33","28","39","32","49","0.0","56","0.0","32","26","0.0","45","0.0"
"39772","56","19","24","48","49","0.0","28","0.0","59","59","0.0","32","0.0"
"50438","71","57","28","48","24","0.0","19","0.0","0.0","3","0.0","4","0.0"
"49811","59","32","39","24","14","0.0","49","0.0","0.0","1","0.0","28","0.0"
"50631","56","23","61","65","15","0.0","54","0.0","0.0","18","0.0","39","0.0"
"63832","57","32","9","39","49","0.0","30","0.0","0.0","57","0.0","40","0.0"
"48849","65","39","67","10","48","0.0","31","0.0","0.0","65","0.0","28","0.0"
"40725","33","10","61","18","69","0.0","14","0.0","32","31","0.0","26","0.0"
"50572","59","32","56","57","48","0.0","39","0.0","0.0","23","0.0","45","0.0"
"41090","28","19","49","15","45","0.0","2","0.0","0.0","19","57","61","0.0"
"42185","3","19","19","23","57","0.0","74","0.0","0.0","13","67","28","0.0"
"42120","22","65","51","75","45","0.0","17","0.0","0.0","32","57","32","0.0"
