Time,Cost
229892.84444444443,2.951525722832723E7
33120.0,4.197017478604729E7
152656.4,3.0241103694893345E7
179645.73333333334,3.0095264528226674E7
79306.5,3.169997921870287E7
44160.0,3.4761122141583905E7
43928.13333333334,3.6500351877514645E7
123712.97777777778,3.1197360353623506E7
97903.59999999999,3.164234975091576E7
34340.333333333336,4.108825216883117E7
137981.33333333334,3.0984573463800907E7
45768.53333333333,3.40256801442675E7
140354.53333333333,3.0373093725705672E7
34979.73333333334,3.987907425146422E7
218007.51111111112,2.970500884080299E7
189005.46666666665,3.00872868487395E7
203571.5111111111,2.988630137743303E7
112164.97777777778,3.1364355293183945E7
39710.0,3.8508949877720326E7
101314.93333333332,3.1625439352902003E7
49332.53333333333,3.363110927030812E7
54068.0,3.313541206837607E7
198141.9111111111,2.9981080139337793E7
33287.555555555555,4.121590435747586E7
74452.0,3.202701788536954E7
219705.11111111112,2.9609976228327233E7
39800.0,3.771976959383754E7
59213.5,3.2838417142857146E7
114669.77777777778,3.1266231634920638E7
44197.2,3.47285823859278E7
53792.0,3.3487036179487187E7
140080.53333333333,3.0804161816526614E7
71051.33333333334,3.2131162758672703E7
35546.39215686275,3.963483929908326E7
41962.37777777778,3.7242162881285384E7
38375.688888888886,3.903275407597305E7
69428.66666666666,3.2359070218702875E7
40377.57777777778,3.759886621461871E7
39630.05882352941,3.890078738366535E7
202438.7111111111,2.9975785972671125E7
61566.0,3.2688211663147315E7
35965.46666666667,3.930859434670232E7
36905.333333333336,3.928966636168733E7
67843.86666666667,3.241606726632192E7
43652.13333333334,3.678145795594602E7
64146.0,3.2438472020900674E7
43445.0,3.6972369598049015E7
43865.73333333334,3.6597585877514645E7
35406.42307692308,3.985706770201367E7
62758.666666666664,3.262863370588236E7
42922.66666666667,3.7080065148576915E7
42842.822222222225,3.718632954795204E7
39182.05882352941,3.893897805033202E7
63150.8,3.252825032981398E7
40179.555555555555,3.759916807086051E7
63862.666666666664,3.252317703921569E7
43884.0,3.6509533098049015E7
