"BugId","GT","jdt","jface","core","swt","ui","debug","ltk","text","jdi","search","compare","other"
"72772","14","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","14","0.0","10","0.0"
"72801","15","0.0","0.0","0.0","0.0","0.0","0.0","0.0","10","15","0.0","0.0","0.0"
"72946","5","0.0","5","0.0","0.0","0.0","0.0","17","0.0","20","0.0","15","0.0"
"73255","12","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","6","0.0","4","0.0"
"73573","5","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","18","0.0"
"73048","18","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","11","0.0","1","0.0"
"72859","18","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","10","0.0","15","0.0"
"73983","4","0.0","0.0","1","0.0","0.0","0.0","3","0.0","16","0.0","0.0","19"
"74519","18","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","6","20","0.0"
"72510","16","0.0","6","0.0","0.0","0.0","16","20","0.0","20","0.0","1","0.0"
"72248","18","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3","0.0","19","0.0"
"73561","18","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2","4","20","0.0"
"73896","18","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","11","0.0","13","0.0"
"72798","7","0.0","0.0","0.0","0.0","0.0","0.0","13","8","3","0.0","12","20"
"73479","10","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","10","0.0"
"73696","14","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","7","0.0","9","0.0"
"72388","6","0.0","0.0","7","0.0","0.0","0.0","1","0.0","9","0.0","1","11"
"72962","17","0.0","0.0","9","0.0","0.0","0.0","4","0.0","17","0.0","19","5"
"73678","14","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4","0.0"
"74504","8","0.0","0.0","5","0.0","0.0","0.0","6","0.0","16","19","17","10"
"72683","12","0.0","18","0.0","0.0","0.0","0.0","4","0.0","17","0.0","13","0.0"
"73700","9","0.0","0.0","7","0.0","0.0","0.0","18","8","20","0.0","9","15"
"72547","9","0.0","0.0","15","0.0","0.0","0.0","16","16","1","0.0","6","9"
"74233","1","0.0","0.0","1","0.0","0.0","0.0","14","0.0","12","0.0","13","20"
"73018","3","0.0","0.0","14","0.0","0.0","0.0","7","9","11","0.0","11","4"
