Time,Cost
65144.269440000004,4.855990758763865E7
292022.1990844445,3.9607830314198315E7
65156.60800666666,4.795567689648007E7
210376.40462666666,4.1088797525323085E7
232202.27516444447,4.098096310373319E7
133148.12417777773,4.324705320291134E7
73298.54262222226,4.585696619660362E7
189953.3623288889,4.142217446819096E7
261884.59986666666,3.991038687601385E7
65278.698595555565,4.7374697554489456E7
69436.08681777779,4.635736827097442E7
118989.29610666666,4.3388513283854134E7
204732.68243111114,4.140907975548968E7
277533.1344044445,3.990469758368457E7
182770.72195555555,4.154908682194308E7
102291.51908444443,4.390222253429045E7
76734.18709490196,4.559071636737582E7
174672.39253333333,4.1918290452463605E7
258693.22928888886,4.007730728357875E7
240934.32435555555,4.0572764278452426E7
284983.1265600001,3.973460496118543E7
66302.19678444444,4.662398152321051E7
246216.61693333334,4.047625616547998E7
167267.18528000003,4.2071078986116685E7
163787.40184444445,4.218297466614151E7
66163.68694000001,4.6968305818296894E7
97611.51536444444,4.401232981607543E7
105848.12078222222,4.373415068448624E7
289196.08127111115,3.964082225756068E7
181378.63476444446,4.170661070149897E7
142185.5586755555,4.323294439875311E7
85450.75408156862,4.484451417333211E7
158719.93283555558,4.268874088452659E7
146997.49865777773,4.29888297517742E7
77006.04186156862,4.5209053930532806E7
81546.10270000002,4.48692490204942E7
207836.81369777778,4.137109498374832E7
86760.0442282353,4.4690411332887135E7
114045.21723555554,4.364112590619224E7
109764.05715111108,4.365852314710808E7
239224.58281777782,4.066787075600014E7
76989.96086156863,4.544986875187396E7
65434.68572888889,4.712414306394796E7
178137.33102666668,4.1816079786348976E7
234278.22179555555,4.0929033009564295E7
152112.4283555556,4.296707057483998E7
162553.02690666667,4.2308496459070526E7
169878.26518222224,4.1972225035572305E7
69266.06755714286,4.652582558857436E7
258191.1658622222,4.024508149308445E7
238430.01968000006,4.078199387832449E7
77829.91706156862,4.511963585789837E7
160112.63094222228,4.251852699689921E7
93245.89364444443,4.4152019754167646E7
79016.93393490196,4.494990136472992E7
179102.56730666666,4.180314868628563E7
248471.92895111113,4.0438080314152025E7
154869.88405333334,4.269360357478107E7
107618.6064622222,4.369850427732835E7
115148.7838222222,4.355066885175789E7
279634.10425777786,3.984638708206538E7
280635.3916222223,3.974296986202435E7
92112.59500444445,4.428604375941932E7
78159.26066156862,4.499161068308553E7
208724.1058888889,4.121378860896908E7
169491.41060444445,4.197940157308823E7
152194.35610666667,4.2926175189349994E7
90830.07289555554,4.435700403459677E7
235580.97328888887,4.0838150320286766E7
143635.7356355555,4.315120781712628E7
89902.9653422222,4.4398363770349145E7
154605.81896000003,4.28649257545344E7
209226.93074222223,4.121189898417831E7
96687.62606222219,4.4112494192449115E7
87044.94179490197,4.45841297453766E7
118245.23174222221,4.343193771908928E7
93193.47880888887,4.423349311777191E7
88945.63539111108,4.44747560721164E7
161175.07936,4.237370490292825E7
236037.06341777777,4.080521516488679E7
145534.42920444437,4.308287560793507E7
160574.60520000002,4.2493763975630276E7
76780.99744156863,4.549689691172307E7
154771.13460888894,4.276458140089132E7
66018.58082888891,4.703235335750321E7
117062.89602666665,4.349364298063398E7
145404.59055999995,4.308868336994472E7
280407.8405866668,3.977152615750363E7
277863.3523377778,3.989448894340117E7
96786.93142222222,4.410271440177846E7
253919.43368,4.027391785888353E7
116284.38538666666,4.350086761159529E7
67038.15811777778,4.656326815435567E7
88636.01800823529,4.45769424511212E7
67489.18810666665,4.654384732913127E7
256001.60176888885,4.025643698603725E7
251745.56295555554,4.030372057916335E7
161582.12763555557,4.2362764985756435E7
143151.71823999993,4.319215691750761E7
250910.56293333333,4.04263187451077E7
65482.75420666667,4.708840959604343E7
88677.37569568626,4.4522676491773166E7
251311.17248,4.035506419837388E7
154757.26703111114,4.283688991702439E7
256538.57528888885,4.025553974446945E7
252945.60074666666,4.0298256301118694E7
142482.97174666662,4.3223831028064065E7
251188.1579866667,4.03910390022885E7
253284.28823111113,4.0285519020879515E7
251135.4373777778,4.0425400381107695E7
160380.12524444444,4.2494873832080126E7
