Time,Cost
98348.4475422222,2.182409294105891E8
213697.62451111115,1.9352014783570918E8
185513.68310000002,1.9756556341979334E8
159359.81965333337,1.999748313133098E8
108954.58596888889,2.055395027531716E8
203191.29655111115,1.9632824192495775E8
144383.58500000002,2.0050991482002714E8
107800.9529,2.0816891020727828E8
124031.88987857141,2.0414368927233914E8
104019.0181,2.1604450580883053E8
137718.1704357143,2.0199086223620635E8
106514.06892444444,2.114724265329144E8
207120.2043866667,1.948886612621678E8
105717.85520222221,2.1459122133256695E8
130027.78964999998,2.0205839564033875E8
125305.79788888889,2.0284781668209526E8
106053.22207142856,2.1218256375646195E8
210949.42532444448,1.9365317733409005E8
